,original_timestamp,lat,lon,alt,x_ned,y_ned,yaw,surge,sway,yaw_rate,surge_dot,surge_dot_bias,sway_dot,sway_dot_bias,yaw_acc,thr_left,thr_right,right_force,left_force,thr_left_pwm_zero_point,thr_right_pwm_zero_point
13,3874002.731,63.4013904,10.3149426,221.02,-43.76385306592054,2.2789762443776063,58.90231323242188,0.002559488065963177,-0.0006688696898747873,-0.0005556062823326004,0.0024165922403325824,0.03500000000000092,0.0050246202945702645,-0.16499999999999926,-0.0001996455272991151,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
14,3874102.731,63.4013904,10.3149426,221.03,-43.76385313483034,2.278976247945348,58.88833618164063,0.004221992215888209,-0.004687448761236108,-0.0005962824802660058,-0.003091450631619419,0.03500000000000092,0.0011648917198174569,-0.16499999999999926,-0.0004348784424104094,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
15,3874202.731,63.4013904,10.3149426,221.03,-43.76385313483034,2.278976247945348,58.88006591796875,0.003006816655736206,-0.0045695830983051655,-0.0006425819708146823,-0.0032303369045267177,0.03500000000000092,0.0009262496232979589,-0.16499999999999926,-0.00025524144509902493,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
16,3874302.731,63.4013904,10.3149426,221.03,-43.76385313483034,2.278976247945348,58.87139129638672,0.0034418846756311054,-0.0034553722295824884,-0.0006473307692858108,-0.00896063059568502,0.03500000000000092,0.004510515332221271,-0.16499999999999926,-0.00015466633049691122,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
17,3874402.731,63.4013904,10.3149426,221.03,-43.76385313483034,2.278976247945348,58.8613166809082,0.0027899100267201535,0.0006426650129289098,-0.0006735152369140645,-0.00844571910798642,0.03500000000000092,0.01047756612300807,-0.16499999999999926,-0.00013906930875224124,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
18,3874502.731,63.4013904,10.3149426,221.04,-43.763853202902226,2.278976251565311,58.85515594482422,0.0016967036730651296,0.002451879746719149,-0.0006751446310362591,-0.003354061245919221,0.03500000000000092,0.003915646076201651,-0.16499999999999926,9.336760279414762e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
19,3874602.731,63.4013904,10.3149426,221.04,-43.763853202902226,2.278976251565311,58.85310745239258,0.005683202202883474,-0.0017596719474814969,-0.000654841716355235,0.0031486713886251794,0.03500000000000092,0.00869708597659996,-0.16499999999999926,0.00012956928636391474,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
20,3874702.731,63.4013904,10.3149427,221.04,-43.76385319933611,2.283974006491217,58.83982849121094,0.009712437971816918,-0.003495508517054437,-0.0006492307737634761,0.004571363478898083,0.03500000000000092,0.004964330196379957,-0.16499999999999926,0.00014389564424227856,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
21,3874802.731,63.4013904,10.3149427,221.04,-43.76385319933611,2.283974006491217,58.83753967285156,0.0072062708172315575,0.00033368298079045284,-0.0006260625875067793,-0.002250831425190919,0.03500000000000092,0.004299529790877554,-0.16499999999999926,0.00032604441410381596,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
22,3874902.731,63.4013905,10.3149427,221.04,-43.75270601211666,2.283973998472014,58.848899841308594,0.0032751570279979055,0.0012772884635819312,-0.0005840218909427129,-0.0006883813440809183,0.03500000000000092,0.006095313429831745,-0.16499999999999926,0.0003554027689273262,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
